Name  /  Date: 2016_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_08070_FV3_L (MQ262);-14;38;30;28;39;31;;31;21;30;28;11;5;11;8;4;
MQ_03150_FV3_G (MQ263);753;589;620;717;869;860;867;871;816;748;685;547;330;229;179;151;
MQ_03150_FV3_L (MQ264);536;461;477;542;613;638;760;638;602;582;520;442;322;253;213;173;
MQ_03150_FV3_R (MQ265);26;25;31;33;44;36;53;46;37;35;31;33;16;10;10;7;
MQ_08080_FV1_G (MQ266);243;566;729;818;1028;1141;1275;1189;1141;1233;951;795;604;397;334;256;
MQ_08080_FV1_R (MQ267);2;2;3;3;4;5;5;5;5;5;4;3;2;2;1;1;
MQ_08080_FV1_L (MQ268);-103;35;49;63;104;126;120;159;126;123;95;72;53;30;26;22;
MQ_06161_FV2_R (MQ269);135;101;101;119;100;127;80;144;148;137;120;94;61;53;33;29;
MQ_08020_FV2_R (MQ27);40;40;27;51;53;51;80;52;61;27;28;43;33;23;42;49;
MQ_06161_FV2_L (MQ270);196;339;322;334;363;373;520;412;365;351;365;276;189;139;121;78;
MQ_03150_FV4_G (MQ271);42;71;69;74;88;114;125;124;120;104;97;70;49;46;29;24;
MQ_08080_FV2_R (MQ272);212;68;64;73;76;73;60;73;69;68;62;37;22;20;14;10;
MQ_08080_FV2_L (MQ273);57;18;17;19;20;19;16;19;18;18;17;10;6;5;4;3;
MQ_08080_FV2_G (MQ274);14;5;4;5;5;5;4;5;5;5;4;2;1;1;1;1;
MQ_08080_FV3_R (MQ275);-69;34;37;40;43;49;80;57;48;47;43;34;23;16;16;11;
MQ_08080_FV3_G (MQ276);830;1027;873;903;884;872;880;950;884;921;849;568;399;266;201;172;
MQ_03150_FV4_L (MQ277);176;92;87;98;111;134;120;103;108;113;113;99;57;49;39;28;
MQ_08080_FV3_L (MQ278);40;29;17;24;25;22;80;19;24;17;29;11;15;10;3;4;
MQ_03150_FV4_R (MQ279);38;65;63;68;82;106;115;115;111;96;89;65;46;42;27;21;
MQ_08020_FV2_L (MQ28);262;83;85;110;138;149;80;167;135;127;101;92;82;55;74;69;
MQ_03170_FV1_G (MQ280);;;;;;;;;
MQ_06161_FV3_G (MQ281);634;215;295;291;331;370;680;345;329;340;340;204;126;104;103;65;
